Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_dollar,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,14,3.67315,3.811442495,2.508960573,,-31.7,-17.9,-6.4,6,24.9,,,,,
Argentina,ARG,ARS,75,37.455,2.002402883,13.44086022,14462.92,-64.1,-56.9,-50.8,-44.3,-34.4,-41.9,-43.4,-33.8,-26.1,-39.6
Australia,AUS,AUD,6.1,1.401639919,4.352045,1.093189964,55692.73,-22,-6.2,6.9,21,42.6,-19.2,-21.3,-8,2.8,-16
Azerbaijan,AZE,AZN,3.95,1.6965,2.328323018,0.707885305,,-58.3,-49.8,-42.8,-35.3,-23.7,,,,,
Bahrain,BHR,BHD,1.2,0.377,3.183023873,0.215053763,,-43,-31.4,-21.9,-11.5,4.3,,,,,
Brazil,BRA,BRL,16.9,3.71795,4.545515674,3.028673835,9895.765,-18.5,-2.1,11.6,26.4,49,40.6,37,60.1,78.9,46.3
Canada,CAN,CAD,6.77,1.3314,5.084873066,1.213261649,45094.605,-8.9,9.5,24.8,41.4,66.7,4,1.3,18.5,32.3,8.2
Switzerland,CHE,CHF,6.5,0.98165,6.62150461,1.164874552,80637.381,18.7,42.6,62.6,84.1,117,0.9,-1.7,15,28.4,5
Chile,CHL,CLP,2640,678.99,3.888127955,473.1182796,15067.724,-30.3,-16.2,-4.5,8.1,27.4,11.8,9,27.4,42.3,16.4
China,CHN,CNY,20.9,6.8497,3.051228521,3.745519713,8643.107,-45.3,-34.3,-25.1,-15.2,0,-3.9,-6.3,9.5,22.3,0
Colombia,COL,COP,11900,3191.5,3.728654238,2132.616487,6379.606,-33.2,-19.7,-8.5,3.7,22.2,21.5,18.4,38.4,54.6,26.4
Costa Rica,CRI,CRC,2290,606.975,3.772807776,410.3942652,,-32.4,-18.7,-7.4,4.9,23.6,,,,,
Czech Republic,CZE,CZK,85,22.31165,3.80966894,15.23297491,20401.577,-31.7,-17.9,-6.5,5.9,24.9,2.2,-0.4,16.4,30.1,6.3
Denmark,DNK,DKK,30,6.51545,4.604440215,5.376344086,56630.596,-17.5,-0.8,13,28,50.9,-15.2,-17.4,-3.4,7.9,-11.8
Egypt,EGY,EGP,40,17.91,2.233389168,7.168458781,2495.02,-60,-51.9,-45.2,-37.9,-26.8,-22.6,-24.6,-11.8,-1.5,-19.5
Euro area,EUZ,EUR,4.05,0.872486149,4.6419075,0.725806452,37309.09338,-16.8,0,14,29.1,52.1,2.6,0,16.9,30.6,6.8
Britain,GBR,GBP,3.19,0.78320802,4.072992,0.571684588,39800.274,-27,-12.3,0,13.3,33.5,-12.2,-14.5,0,11.7,-8.7
Guatemala,GTM,GTQ,25,7.7283,3.234864071,4.480286738,,-42,-30.3,-20.6,-10.1,6,,,,,
Hong Kong,HKG,HKD,20,7.83435,2.552860161,3.584229391,46080.481,-54.2,-45,-37.3,-29,-16.3,-48.3,-49.6,-41.1,-34.2,-46.2
